timestamp,x,y,pupil_diameter
0,241,407,6.620591869631284
1,464,425,5.214085993342084
2,465,346,5.588243280829982
3,214,226,4.123100709317788
4,406,129,4.75820589252227
5,338,312,4.743051271708906
6,177,468,2.2327219054875904
7,224,276,3.4442835885909098
8,193,256,2.591595577876231
9,249,344,5.8632099157451645
10,166,170,5.462856494510248
11,225,149,5.706621752347603
12,254,319,4.726184619678712
13,392,422,2.9160307343717218
14,426,220,4.721737416811202
15,423,157,5.031791911794283
16,417,440,4.263247555541993
17,374,384,3.225559095798598
18,262,418,3.6464813746078235
19,452,308,3.823998252938854
20,328,250,5.358907020257848
21,193,144,2.7501826419675233
22,276,405,6.35135546968202
23,238,219,6.773703622734155
24,328,418,3.839213788072105
25,340,375,5.043262762926143
26,242,198,3.7883490480628783
27,109,102,2.3891016178362494
28,239,389,2.7683757257851536
29,314,399,4.991102235842968
30,384,232,6.210627457796442
31,277,319,4.590446876802457
32,130,301,5.780489909525715
33,287,331,5.822220074464798
34,136,164,2.8802501345528095
35,446,405,6.051895933021688
36,122,498,4.721295274862265
37,453,456,5.709841197354647
38,308,203,6.430724497050445
39,439,200,5.442660033396893
40,202,281,3.3775360514736428
41,296,439,5.8357082229616
42,238,111,2.1892873228542484
43,102,460,4.343413391409678
44,369,415,6.013749762241952
45,114,274,3.057335533107488
46,361,363,2.573499380176007
47,236,385,3.5962853797782794
48,177,266,2.5050589433787858
49,136,406,5.189129312319388
50,467,266,5.7751709668666695
51,463,398,6.364374351229385
52,223,111,2.7986635542577165
53,182,275,4.439186862352049
54,293,423,2.7332845296165043
55,433,243,4.762401547168689
56,473,379,6.3138498967981045
57,497,340,4.502388476364263
58,248,101,6.1590873496361
59,466,467,6.285286319012104
60,466,435,5.301973221064037
61,159,210,6.052011978208635
62,254,192,4.537361530158581
63,436,419,2.4379811383590533
64,417,162,3.8049310185987717
65,220,380,3.375778516962536
66,135,224,6.006553353106662
67,161,348,4.356345817367901
68,481,203,3.164745473857761
69,198,301,6.247381627087604
70,337,158,6.28057169207982
71,145,112,3.3245495807018273
72,425,177,5.504614689719958
73,323,387,3.032253105371936
74,187,144,3.479483256680833
75,292,185,2.2202953682365
76,453,198,3.5890077211436155
77,173,488,2.198644861992141
78,130,366,3.0851069039793297
79,297,480,2.3385290121568256
80,115,122,6.549127552911727
81,425,161,5.8442509444392154
82,299,132,2.571723543430802
83,416,143,5.433887013131763
84,440,301,4.539610884230688
85,445,300,2.728444866342732
86,132,498,5.699272768474508
87,371,421,4.745334989766401
88,216,384,3.4447583967657835
89,252,389,3.453178540641989
90,204,392,4.546859093557401
91,490,459,6.055246352944437
92,113,107,2.977626928727598
93,474,388,6.762549825965843
94,497,177,6.304904183090787
95,137,189,5.805913574689854
96,490,120,3.8014185838486254
97,373,371,5.441118983244628
98,363,294,2.945047173285311
99,390,132,6.9950109038590345
